"BeerName","Beer_ID","ABV","IBU","Brewery_ID","Style","Ounces"
"Colorado Native (2011)",431,0.055,26,463,"American Amber / Red Lager",12
"Jockamo IPA",516,0.065,52,534,"American IPA",12
"Purple Haze",515,0.042,13,534,"Fruit / Vegetable Beer",12
"Abita Amber",514,0.045,17,534,"American Amber / Red Lager",12
"Citra Ass Down",2540,0.082,68,63,"American IPA",16
"The Brown Note",2539,0.05,20,63,"American Brown Ale",16
"Citra Ass Down",2686,0.08,68,2,"American Double / Imperial IPA",16
"London Balling",2685,0.125,80,2,"English Barleywine",16
"35 K",2684,0.077,25,2,"Milk / Sweet Stout",16
"A Beer",2683,0.042,42,2,"American Pale Ale (APA)",16
"Rules are Rules",2682,0.05,25,2,"German Pilsener",16
"Flesh Gourd'n",2681,0.066,21,2,"Pumpkin Ale",16
"Sho'nuff",2680,0.04,13,2,"Belgian Pale Ale",16
"Bloody Show",2679,0.055,17,2,"American Pilsner",16
"Rico Sauvin",2678,0.076,68,2,"American Double / Imperial IPA",16
"Coq de la Marche",2677,0.051,38,2,"Saison / Farmhouse Ale",16
"Pile of Face",2675,0.06,65,2,"American IPA",16
"The Brown Note",2674,0.05,20,2,"English Brown Ale",16
"Maylani's Coconut Stout",1594,0.053,35,368,"American Stout",16
"Oatmeal PSA",1162,0.05,35,368,"American Pale Ale (APA)",16
"Pre Flight Pilsner",1137,0.052,33,368,"American Pilsner",16
"P-Town Pilsner",2403,0.04,20,118,"American Pilsner",12
"Klickitat Pale Ale",2402,0.053,36,118,"American Pale Ale (APA)",12
"Yellow Wolf Imperial IPA",2401,0.082,103,118,"American Double / Imperial IPA",12
"Freeride APA",1921,0.053,40,271,"American Pale Ale (APA)",12
"Alaskan Amber",1920,0.053,18,271,"Altbier",12
"Desolation IPA",837,0.062,43,402,"American IPA",16
"Barney Flats Oatmeal Stout",1520,0.057,13,172,"Oatmeal Stout",12
"Summer Solstice",1350,0.056,4,172,"Cream Ale",12
"Hop Ottin' IPA",1327,0.07,80,172,"American IPA",12
"Boont Amber Ale",1326,0.058,15,172,"American Amber / Red Ale",12
"Barney Flats Oatmeal Stout",1221,0.057,13,172,"Oatmeal Stout",12
"El Steinber Dark Lager",1217,0.055,25,172,"Vienna Lager",16
"Boont Amber Ale (2010)",811,0.058,15,172,"American Amber / Red Ale",12
"Summer Solstice Cerveza Crema (2009)",753,0.056,4,172,"Cream Ale",12
"Barney Flats Oatmeal Stout (2012)",572,0.057,13,172,"Oatmeal Stout",12
"Winter Solstice",523,0.069,6,172,"Winter Warmer",12
"Hop Ottin' IPA (2011)",367,0.07,80,172,"American IPA",12
"Boont Amber Ale (2011)",78,0.058,15,172,"American Amber / Red Ale",12
"Summer Solstice (2011)",77,0.056,4,172,"Cream Ale",12
"Poleeko Gold Pale Ale (2009)",76,0.055,28,172,"American Pale Ale (APA)",12
"Long Leaf",2511,0.071,75,70,"American IPA",16
"Honey Badger Blonde",2510,0.047,19,70,"American Blonde Ale",16
"Porter (a/k/a Black Gold Porter)",2509,0.06,23,70,"American Porter",16
"Sky High Rye",413,0.06,55,542,"American Pale Ale (APA)",12
"Whitsun",390,0.062,17,542,"American Pale Wheat Ale",12
"Quakertown Stout",1333,0.092,50,427,"American Double / Imperial Stout",12
"Greenbelt Farmhouse Ale",1332,0.051,20,427,"Saison / Farmhouse Ale",12
"Mo's Gose",1172,0.052,10,462,"Gose",16
"Green Bullet Organic India Pale Ale",1322,0.07,45,430,"American IPA",16
"Rocket Girl",550,0.032,27,529,"Kölsch",12
"Ninja Porter",429,0.053,26,529,"American Porter",12
"Shiva IPA",428,0.06,69,529,"American IPA",12
"This Season's Blonde",597,0.056,27,524,"American Blonde Ale",12
"Independence Pass Ale",596,0.07,67,524,"American IPA",12
"Trolley Stop Stout",1580,0.057,40,375,"American Stout",12
"Bitter Bitch Imperial IPA",980,0.082,138,375,"American Double / Imperial IPA",12
"Poop Deck Porter",979,0.062,35,375,"American Porter",12
"Old Red Beard Amber Ale",978,0.06,35,375,"American Amber / Red Ale",12
"Hop A-Peel",2503,0.075,115,73,"American Double / Imperial IPA",16
"Vanilla Java Porter",2502,0.055,12,73,"American Porter",16
"Dirty Blonde Ale",534,0.045,8,73,"American Blonde Ale",12
"Grand Circus IPA",528,0.05,62,73,"American IPA",12
"Atwater's Lager",527,0.05,12,73,"Munich Helles Lager",12
"Avery Joe’s Premium American Pilsner",146,0.047,42,38,"German Pilsener",12
"White Rascal",108,0.056,10,38,"Witbier",12
"Avery India Pale Ale",107,0.063,69,38,"American IPA",12
"Ellie’s Brown Ale",106,0.055,17,38,"American Brown Ale",12
"Pumpkin Beast",1620,0.062,17,361,"Pumpkin Ale",12
"OktoberBeast",1579,0.072,22,361,"Märzen / Oktoberfest",12
"Mad Beach",1228,0.048,23,361,"American Pale Wheat Ale",12
"Devils Tramping Ground Tripel",704,0.092,5,361,"Tripel",12
"Hot Rod Red",702,0.061,41,361,"American Amber / Red Ale",12
"Naked Pig Pale Ale",1875,0.06,43,287,"American Pale Ale (APA)",12
"Topcutter India Pale Ale",966,0.068,70,484,"American IPA",12
"Field 41 Pale Ale",965,0.044,38,484,"American Pale Ale (APA)",12
"Even Keel",2105,0.038,40,35,"American IPA",12
"Ballast Point Pale Ale",1401,0.052,23,35,"Kölsch",12
"Big Eye India Pale Ale",1400,0.07,75,35,"American IPA",12
"Sculpin IPA",1018,0.07,70,35,"American IPA",12
"Banner American Rye",1644,0.045,20,319,"Rye Beer",12
"Banner American Ale",1643,0.035,45,319,"American Amber / Red Ale",12
"Thai.p.a",2618,0.07,46,21,"American IPA",16
"Barrio Blanco",2005,0.06,60,252,"American IPA",12
"Hop in the ‘Pool Helles",2404,0.049,22,117,"American Pilsner",12
"Ultra Gnar Gnar IPA",2323,0.067,60,117,"American IPA",12
"In-Tents India Pale Lager",2189,0.068,62,117,"American Pale Lager",12
"Lost Meridian Wit",2188,0.05,20,117,"Witbier",12
"Celestial Meridian Cascadian Dark Lager",2187,0.051,45,117,"Euro Dark Lager",12
"Wagon Party",1966,0.054,55,259,"California Common / Steam Beer",12
"Sky-Five",1965,0.067,70,259,"American IPA",12
"Stargrazer",1964,0.05,28,259,"Schwarzbier",12
"Wonderstuff",1963,0.054,48,259,"German Pilsener",12
"On the Count of 3 (2015)",1778,0.07,42,293,"Hefeweizen",16
"Amber Road",533,0.055,35,293,"American Amber / Red Ale",12
"Pamola Xtra Pale Ale",183,0.049,28,293,"American Pale Ale (APA)",12
"Stowaway IPA",182,0.069,69,293,"American IPA",12
"Hoptopus Double IPA",1806,0.088,108,307,"American Double / Imperial IPA",16
"Watermelon Ale",2435,0.05,10,104,"Fruit / Vegetable Beer",12
"Fenway American Pale Ale",2423,0.058,45,104,"American Pale Ale (APA)",12
"Back Bay IPA",2420,0.068,85,104,"American IPA",12
"Bunker Hill Blueberry Ale",2419,0.048,16,104,"Other",12
"Moar",2558,0.044,44,54,"English India Pale Ale (IPA)",12
"Nordic Blonde",2556,0.057,27,54,"American Blonde Ale",12
"Harness the Winter",2410,0.072,87,76,"American IPA",12
"14° ESB",1902,0.056,32,76,"Extra Special / Strong Bitter (ESB)",12
"Bent Hop Golden IPA",1901,0.062,68,76,"American IPA",12
"Bent Paddle Black Ale",1261,0.06,34,76,"American Black Ale",12
"Venture Pils",1253,0.05,38,76,"German Pilsener",12
"Lost Sailor IPA",1900,0.055,40,279,"English India Pale Ale (IPA)",12
"Steel Rail Extra Pale Ale",1317,0.053,20,279,"American Pale Ale (APA)",12
"Aprè Shred",2104,0.081,17,221,"American Strong Ale",16
"Hemlock Double IPA",1762,0.095,104,221,"American Double / Imperial IPA",12
"Disconnected Red",1067,0.067,85,221,"American Amber / Red Ale",16
"Dark Star",2639,0.08,54,9,"American Stout",16
"Galaxy IPA",2585,0.075,60,41,"American IPA",16
"Big River Pilsner",643,0.05,32,520,"Czech Pilsener",12
"House Brand IPA",632,0.06,55,520,"American IPA",12
"Big Sky IPA",1714,0.062,65,337,"American IPA",12
"Scape Goat Pale Ale",1713,0.05,40,337,"English Pale Ale",12
"Montana Trout Slayer Ale",1712,0.05,35,337,"American Pale Wheat Ale",12
"Moose Drool Brown Ale",1711,0.051,26,337,"American Brown Ale",12
"Powder Hound Winter Ale",1456,0.072,60,337,"English Strong Ale",12
"Moose Drool Brown Ale (2011)",767,0.051,26,337,"American Brown Ale",12
"Montana Trout Slayer Ale (2012)",766,0.05,35,337,"American Pale Wheat Ale",12
"Big Sky IPA (2012)",579,0.062,65,337,"American IPA",12
"Scape Goat Pale Ale (2010)",159,0.05,40,337,"English Pale Ale",12
"Montana Trout Slayer Ale (2009)",35,0.05,35,337,"American Pale Wheat Ale",12
"Moose Drool Brown Ale (2009)",34,0.051,26,337,"American Brown Ale",12
"Arcus IPA",2096,0.069,81,222,"American IPA",12
"Wavemaker",2095,0.058,38,222,"American Amber / Red Ale",12
"Jack Pine Savage",1257,0.053,43,445,"American Pale Ale (APA)",16
"Forest Fire Imperial Smoked Rye",1256,0.099,85,445,"Rye Beer",16
"Bad Axe Imperial IPA",1255,0.098,76,445,"American Double / Imperial IPA",16
"Morning Wood",986,0.055,35,445,"Oatmeal Stout",16
"Bark Bite IPA",985,0.066,50,445,"American IPA",16
"Jalapeno Pale Ale",2508,0.055,45,71,"American Pale Ale (APA)",16
"Saucy Intruder",2620,0.072,75,19,"Rye Beer",16
"Deception",2412,0.045,16,113,"American Blonde Ale",12
"Blackmarket Rye IPA",1898,0.075,35,113,"American IPA",12
"Black Market Hefeweizen",1897,0.05,8,113,"Hefeweizen",12
"Aftermath Pale Ale",1896,0.058,44,113,"American Pale Ale (APA)",12
"American India Red Ale",1850,0.071,83,295,"American Strong Ale",12
"American Red Porter",1849,0.071,45,295,"American Porter",12
"American Red Saison",1848,0.078,34,295,"Saison / Farmhouse Ale",12
"Colorado Red Ale",1847,0.066,44,295,"American Amber / Red Ale",12
"Saddle Bronc Brown Ale",2485,0.048,16,80,"American Brown Ale",12
"Bomber Mountain Amber Ale",2484,0.046,20,80,"American Amber / Red Ale",12
"Nordskye",2634,0.048,47,13,"American IPA",12
"North Third Stout",2153,0.06,30,13,"Foreign / Export Stout",12
"51K IPA",1481,0.07,51,13,"American IPA",12
"1327 Pod's ESB",888,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12
"1327 Pod's ESB",886,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12
"1327 Pod's ESB",612,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12
"834 Happy As Ale",611,0.046,35,381,"American Pale Ale (APA)",12
"Quarter Mile Double IPA",1812,0.08,80,305,"American Double / Imperial IPA",12
"Full Nelson Pale Ale",1547,0.059,60,383,"American Pale Ale (APA)",12
"Steel Wheels ESB",1546,0.065,30,383,"Extra Special / Strong Bitter (ESB)",12
"Blue Mountain Classic Lager",1545,0.053,22,383,"Euro Pale Lager",12
"Full Nelson Pale Ale (2010)",119,0.059,60,383,"American Pale Ale (APA)",12
"Kölsch 151",1408,0.049,16,415,"Kölsch",12
"Blue Point White IPA",692,0.06,40,490,"American White IPA",12
"Blue Point Summer Ale",667,0.044,16,490,"American Blonde Ale",12
"Toasted Lager",665,0.055,28,490,"Vienna Lager",12
"Longhop IPA",1891,0.042,30,282,"American IPA",16
"Lucky Buck",1890,0.04,34,282,"Irish Dry Stout",16
"Bomb Lager (Old Recipe)",513,0.045,27,526,"Munich Helles Lager",12
"Firestarter India Pale Ale",2422,0.066,72,108,"American IPA",12
"Kilt Dropper Scotch Ale",1727,0.075,22,108,"Scotch Ale / Wee Heavy",16
"Wood Splitter Pilsner",1614,0.048,30,108,"Czech Pilsener",16
"Gyptoberfest",1613,0.056,26,108,"Märzen / Oktoberfest",12
"Farmer Wirtz India Pale Ale",1549,0.07,94,108,"English India Pale Ale (IPA)",16
"Screaming Eagle Special Ale ESB",1360,0.048,38,108,"Extra Special / Strong Bitter (ESB)",12
"Kindler Pale Ale",1183,0.053,45,108,"American Pale Ale (APA)",12
"Firestarter India Pale Ale",633,0.066,72,108,"American IPA",16
"Noche Dulce",2062,0.071,16,232,"American Porter",16
"Porch Rocker",1830,0.045,8,301,"Radler",12
"Rebel IPA",1629,0.065,45,301,"American IPA",16
"Boston Lager",1349,0.049,30,301,"Vienna Lager",16
"Boston Lager",1310,0.049,30,301,"Vienna Lager",12
"Samuel Adams Octoberfest",1281,0.053,15,301,"Märzen / Oktoberfest",12
"Samuel Adams Summer Ale",1144,0.053,7,301,"American Pale Wheat Ale",12
"Boston Lager",1143,0.049,30,301,"Vienna Lager",12
"Hazed & Infused",1395,0.049,35,418,"American Pale Ale (APA)",12
"Hoopla Pale Ale",808,0.057,35,418,"American Pale Ale (APA)",12
"Hazed & Infused (2010)",81,0.049,35,418,"American Pale Ale (APA)",12
"Heavy Lifting",2596,0.062,80,32,"American IPA",12
"Plum St. Porter",2107,0.06,52,220,"American Porter",12
"Plum St. Porter",1573,0.057,52,220,"American Porter",12
"Bozone HopZone IPA",1289,0.07,80,220,"American IPA",12
"Bozone Hefe Weizen",1288,0.06,25,220,"Hefeweizen",12
"Evil Owl",2167,0.052,40,208,"American Amber / Red Ale",12
"Agave Wheat",1522,0.042,9,392,"American Pale Wheat Ale",12
"SummerBright Ale",397,0.045,15,392,"American Pale Wheat Ale",12
"Lucky U IPA",193,0.062,68,392,"American IPA",12
"Avalanche Ale",83,0.054,19,392,"American Amber / Red Ale",12
"Last Stop IPA",1801,0.072,60,309,"American IPA",12
"Rollin Dirty Red Ale",1800,0.05,21,309,"Irish Red Ale",12
"Are Wheat There Yet?",1799,0.055,28,309,"American Pale Wheat Ale",12
"Northern Lights Amber Ale",921,0.05,15,494,"American Amber / Red Ale",12
"Polar Pale Ale",920,0.052,17,494,"American Pale Ale (APA)",12
"Fairweather IPA",648,0.061,64,494,"American IPA",12
"East India Pale Ale",1279,0.068,47,438,"English India Pale Ale (IPA)",16
"East India Pale Ale",566,0.068,47,438,"English India Pale Ale (IPA)",12
"Black Adder IBA (Current)",383,0.073,85,531,"American Black Ale",16
"Tule Duck Red Ale (Current)",28,0.062,42,531,"American Amber / Red Ale",16
"Original Orange Blossom Ale (Current)",27,0.058,35,531,"Herbed / Spiced Beer",16
"Black Noddy Lager (Current)",26,0.052,40,531,"Schwarzbier",16
"1836",2125,0.06,40,215,"American Blonde Ale",12
"Summer's Wit",2124,0.06,20,215,"Witbier",12
"More Cowbell",2123,0.09,118,215,"American Double / Imperial IPA",16
"Pale Alement",2478,0.055,40,25,"American Pale Ale (APA)",12
"Hopkick Dropkick",2471,0.099,115,25,"American Double / Imperial IPA",12
"Joey Wheat",2160,0.068,16,25,"American Pale Wheat Ale",16
"3:33 Black IPA",2158,0.072,86,25,"American IPA",16
"Pale Alement",2054,0.055,40,25,"American Pale Ale (APA)",16
"Couch Select Lager",2196,0.05,14,198,"American Pale Lager",12
"Mucho Aloha Hawaiian Pale Ale",668,0.056,36,518,"American Pale Ale (APA)",12
"Horny Toad Cerveza",2214,0.053,25,183,"American Blonde Ale",16
"Native Amber",2213,0.063,35,183,"American Amber / Red Ale",16
"F5 IPA",1442,0.068,100,183,"American IPA",16
"Native Amber (2013)",170,0.063,35,183,"American Amber / Red Ale",16
"Horny Toad Cerveza (2013)",169,0.053,25,183,"American Blonde Ale",16
"Hopportunity Knocks IPA",2315,0.068,100,156,"American IPA",12
"Caldera Pale Ale",1419,0.056,55,156,"American Pale Ale (APA)",12
"Lawnmower Lager",878,0.039,16,156,"American Adjunct Lager",12
"Ashland Amber Ale (2009)",794,0.054,24,156,"American Amber / Red Ale",12
"Caldera IPA (2009)",793,0.061,94,156,"American IPA",12
"Caldera IPA (2007)",792,0.061,94,156,"American IPA",12
"Caldera Pale Ale (2010)",791,0.056,55,156,"American Pale Ale (APA)",12
"Caldera Pale Ale (2009)",790,0.056,55,156,"American Pale Ale (APA)",12
"Caldera Pale Ale (2005)",789,0.056,55,156,"American Pale Ale (APA)",12
"Caldera Pale Ale (2007)",788,0.056,55,156,"American Pale Ale (APA)",12
"Caldera Pale Ale (2011)",38,0.056,55,156,"American Pale Ale (APA)",12
"Ashland Amber Ale",37,0.054,24,156,"American Amber / Red Ale",12
"Caldera IPA",36,0.061,94,156,"American IPA",12
"Imperial Pumpkin Stout",2068,0.099,43,231,"Pumpkin Ale",16
"Dead-Eye DIPA",2067,0.09,130,231,"American Double / Imperial IPA",16
"Fisherman's IPA",2066,0.055,64,231,"American IPA",12
"Fisherman's Pils",2065,0.054,35,231,"German Pilsener",12
"Fisherman's Brew",2064,0.055,30,231,"American Amber / Red Ale",12
"Cape Cod Red",1928,0.055,35,268,"American Amber / Red Ale",16
"Beach Blonde",1927,0.049,10,268,"American Blonde Ale",16
"Dark Voyage Black IPA (2013)",2227,0.065,80,193,"American Black Ale",12
"Wisconsin Amber",2226,0.052,28,193,"Vienna Lager",12
"Lake House",2225,0.046,18,193,"Munich Helles Lager",12
"Ghost Ship White IPA",1954,0.056,55,193,"American IPA",12
"Lake House",1910,0.046,18,193,"Munich Helles Lager",16
"Mutiny IPA",1177,0.062,70,193,"American IPA",12
"Santa's Secret",2255,0.059,22,180,"Winter Warmer",16
"Epitome",2094,0.099,100,223,"American Black Ale",16
"Monkey Chased the Weasel",1941,0.039,9,223,"Berliner Weissbier",16
"077XX",1940,0.078,80,223,"American Double / Imperial IPA",16
"Boat Beer",1439,0.042,35,223,"American IPA",12
"Whitecap Wit",1882,0.048,16,286,"Witbier",16
"Seiche Scottish Ale",1881,0.078,16,286,"Scottish Ale",16
"Gone A-Rye",2600,0.085,90,30,"American Double / Imperial IPA",16
"Dankosaurus",2052,0.068,70,30,"American IPA",16
"Scruffy's Smoked Alt",1584,0.051,35,30,"Smoked Beer",16
"Elliott's Phoned Home Pale Ale",1182,0.051,36,30,"American Pale Ale (APA)",16
"The Lawn Ranger",1050,0.05,18,30,"Cream Ale",16
"Main St. Virginia Ale",2377,0.05,40,123,"Altbier",12
"Chin Music Amber Lager",1839,0.045,24,123,"American Amber / Red Lager",12
"Main St. Virginia Ale",1248,0.05,40,123,"Altbier",12
"Ray Ray’s Pale Ale",1247,0.052,42,123,"American Pale Ale (APA)",12
"Chai Ale",1649,0.051,15,351,"Herbed / Spiced Beer",16
"Lucky Day IPA",1648,0.072,85,351,"American IPA",16
"Terrace Hill Double IPA",1647,0.095,99,351,"American Double / Imperial IPA",16
"Catch 23",1646,0.075,77,351,"American Black Ale",16
"Black Me Stout",2056,0.06,45,237,"American Stout",12
"Killer Kolsch",2055,0.05,22,237,"Kölsch",12
"Missile IPA",1933,0.07,65,237,"American IPA",12
"Ale Cider",2018,0.065,8,251,"Fruit / Vegetable Beer",16
"Pail Ale",2017,0.055,30,251,"American Pale Ale (APA)",16
"8 Barrel",2080,0.08,69,227,"American Strong Ale",16
"Oktoberfest",2079,0.055,40,227,"Märzen / Oktoberfest",16
"IPA #11",2380,0.057,58,122,"American IPA",16
"Blood Orange Honey",2379,0.057,10,122,"Fruit / Vegetable Beer",16
"Bay of Bengal Double IPA (2014)",2440,0.089,126,100,"American Double / Imperial IPA",12
"Churchkey Pilsner Style Beer",567,0.049,29,527,"American Pilsner",12
"Cubano Espresso",2349,0.055,25,142,"Bock",12
"Operation Homefront",2014,0.062,65,142,"American IPA",12
"Wandering Pelican",2013,0.082,65,142,"American Black Ale",12
"Hopped on the High Seas (Hop #529)",1726,0.07,60,142,"American IPA",12
"Hopped on the High Seas (Calypso)",1725,0.07,60,142,"American IPA",12
"Dry-Hopped On The High Seas Caribbean-Style IPA",1694,0.07,60,142,"American IPA",12
"Hopped on the High Seas (Citra)",1693,0.07,60,142,"American IPA",12
"Hopped on the High Seas (Ahtanum)",1692,0.07,60,142,"American IPA",12
"Humidor Series India Pale Ale",1142,0.075,70,142,"American IPA",12
"Jai Alai IPA Aged on White Oak",1141,0.075,70,142,"American IPA",12
"José Martí American Porter",1140,0.08,65,142,"American Porter",12
"Maduro Brown Ale",1138,0.055,25,142,"English Brown Ale",12
"Maduro Brown Ale",571,0.055,25,142,"American Brown Ale",12
"Tocobaga Red Ale",569,0.072,75,142,"American Amber / Red Ale",12
"Jai Alai IPA",546,0.075,70,142,"American IPA",12
"Florida Cracker Belgian Wit",545,0.05,18,142,"Witbier",12
"Jacaranada Rye IPA",1772,0.067,60,321,"American IPA",16
"Cascadian Dark Ale",1393,0.06,75,419,"American Black Ale",12
"Wheat the People",893,0.044,13,419,"American Pale Wheat Ale",16
"Tybee Island Blonde",1407,0.047,17,416,"American Blonde Ale",12
"Savannah Brown Ale",1406,0.062,55,416,"American Brown Ale",12
"Rhode Island Blueberry",2438,0.046,11,102,"Kölsch",12
"Newport Storm IPA",2437,0.065,75,102,"American IPA",12
"Hurricane Amber Ale (2004)",751,0.052,24,102,"American Amber / Red Ale",12
"Hurricane Amber Ale",120,0.052,24,102,"American Amber / Red Ale",12
"Des Moines IPA",970,0.068,75,483,"American IPA",16
"Capital Gold Golden Lager",969,0.048,22,483,"German Pilsener",16
"Farmer John's Multi-Grain Ale",968,0.056,21,483,"American Blonde Ale",16
"Crabtree Oatmeal Stout",659,0.075,29,516,"Oatmeal Stout",16
"Eclipse Black IPA",556,0.077,71,516,"American Black Ale",16
"Neomexicanus Native",2538,0.06,46,64,"American Pale Ale (APA)",12
"Old Soul",2355,0.075,25,64,"Belgian Strong Pale Ale",12
"Lava Lake Wit",685,0.052,15,64,"Witbier",12
"Crazy Mountain Amber Ale",356,0.052,25,64,"American Amber / Red Ale",12
"Tropicalia",2029,0.065,65,248,"American IPA",12
"Aviator Raspberry Blonde",2293,0.049,25,170,"American Blonde Ale",12
"South Ridge Amber Ale",1057,0.06,31,473,"American Amber / Red Ale",16
"Summertime Ale",681,0.052,23,473,"Kölsch",16
"The Tradition",1809,0.05,15,228,"American Blonde Ale",12
"El Hefe Speaks",1263,0.053,11,228,"Hefeweizen",12
"On the Wings of Armageddon",851,0.092,115,228,"American Double / Imperial IPA",12
"The Corruption",186,0.065,80,228,"American IPA",12
"Dead Armadillo Amber Ale",1746,0.063,37,331,"American Amber / Red Ale",12
"Oak Cliff Coffee Ale",2251,0.075,33,128,"American Brown Ale",12
"Dream Crusher Double IPA",2166,0.085,100,128,"American Double / Imperial IPA",12
"Farmhouse Wit",1202,0.048,25,128,"Saison / Farmhouse Ale",16
"Dallas Blonde",946,0.052,23,128,"American Blonde Ale",12
"Deep Ellum IPA",943,0.07,70,128,"American IPA",12
"Thrasher Session India Pale Ale",1886,0.045,44,284,"American IPA",12
"Gutch English Style Mild Ale",1885,0.05,16,284,"English Pale Mild Ale",12
"Chuli Stout",1213,0.059,55,454,"Irish Dry Stout",12
"Mother Ale",1159,0.056,46,454,"American Blonde Ale",12
"Twister Creek India Pale Ale",947,0.065,71,454,"American IPA",12
"Single Engine Red",929,0.058,46,454,"Irish Red Ale",12
"Mirror Pond Pale Ale",1210,0.05,40,455,"American Pale Ale (APA)",12
"Weissenheimer",2550,0.052,16,58,"Hefeweizen",12
"Abbey's Single (2015- )",2505,0.049,22,58,"Abbey Single Ale",12
"Vertex IPA",2025,0.063,76,58,"American IPA",12
"Here Gose Nothin'",2021,0.05,12,58,"Gose",12
"Hoperation Overload",1888,0.096,85,58,"American Double / Imperial IPA",12
"Abbey's Single Ale (Current)",1887,0.049,22,58,"Abbey Single Ale",12
"Bravo Four Point",2051,0.044,45,238,"American Pale Ale (APA)",12
"Striped Bass Pale Ale",1201,0.052,26,238,"American Pale Ale (APA)",12
"Deadicated Amber",924,0.054,27,492,"American Amber / Red Ale",16
"California Sunshine Rye IPA",730,0.071,85,492,"American IPA",16
"Full Boar Scotch Ale",647,0.074,12,492,"Scotch Ale / Wee Heavy",16
"Filthy Hoppin' IPA",1795,0.065,72,312,"American IPA",16
"Hop Abomination",881,0.066,100,497,"American IPA",12
"Apricot Blonde",880,0.051,17,497,"Fruit / Vegetable Beer",12
"Dry Dock Hefeweizen",872,0.043,12,497,"Hefeweizen",12
"Dry Dock Amber Ale",871,0.058,49,497,"American Amber / Red Ale",12
"Category 3 IPA",1685,0.061,64,341,"American IPA",12
"Dundee Summer Wheat Beer",457,0.045,18,539,"American Pale Wheat Ale",12
"Crank Yanker IPA",1382,0.078,74,370,"American IPA",16
"Crank Yanker IPA (2011)",395,0.078,74,370,"American IPA",16
"Dottie Seattle Lager",673,0.049,25,517,"American Amber / Red Lager",16
"Little Sister India Style Session Ale",2292,0.043,60,171,"American IPA",12
"Country Boy IPA",1504,0.062,80,171,"American IPA",12
"Blonde Czich",2604,0.049,23,27,"American Blonde Ale",16
"White Reaper",2432,0.07,61,27,"Belgian IPA",16
"General George Patton Pilsner",1967,0.054,48,27,"Czech Pilsener",16
"Iron Horse Pale Ale",1722,0.05,32,336,"American Pale Ale (APA)",12
"Stone's Throw IPA",1435,0.045,19,336,"Scottish Ale",12
"Wood Chipper India Pale Ale",1434,0.067,70,336,"American IPA",12
"Trail Head",2089,0.063,55,225,"American Pale Ale (APA)",12
"Hop Stalker Fresh Hop IPA",2088,0.07,80,225,"American IPA",16
"Sudice American Stout",1455,0.07,58,406,"American Stout",16
"Parcae Belgian Style Pale Ale",1454,0.05,20,406,"Belgian Pale Ale",16
"Norns Roggenbier",1453,0.05,20,406,"Roggenbier",16
"Laimas Kölsch Style Ale",1452,0.05,20,406,"Kölsch",16
"Moirai India Pale Ale",1451,0.07,70,406,"American IPA",16
"Loki Red Ale",2191,0.075,53,202,"American Amber / Red Ale",16
